sku,location,period,qty
SKU_0002,MSK,2025-03,0
SKU_0002,MSK,2025-04,0
SKU_0002,MSK,2025-05,0
SKU_0002,MSK,2025-06,0
SKU_0002,MSK,2025-07,0
SKU_0002,MSK,2025-08,0
SKU_0002,MSK,2025-09,0
SKU_0002,MSK,2025-10,35
SKU_0002,MSK,2025-11,0
SKU_0002,MSK,2025-12,0
SKU_0003,EKB,2023-01,358
SKU_0003,EKB,2023-02,313
SKU_0003,EKB,2023-03,286
SKU_0003,EKB,2023-04,216
SKU_0003,EKB,2023-05,192
SKU_0003,EKB,2023-06,196
SKU_0003,EKB,2023-07,211
SKU_0003,EKB,2023-08,250
SKU_0003,EKB,2023-09,247
SKU_0003,EKB,2023-10,328
SKU_0003,EKB,2023-11,296
SKU_0003,EKB,2023-12,321
SKU_0003,EKB,2024-01,389
SKU_0003,EKB,2024-02,244
SKU_0003,EKB,2024-03,262
SKU_0003,EKB,2024-04,254
SKU_0003,EKB,2024-05,233
SKU_0003,EKB,2024-06,205
SKU_0003,EKB,2024-07,293
SKU_0003,EKB,2024-08,271
SKU_0003,EKB,2024-09,274
SKU_0003,EKB,2024-10,268
SKU_0003,EKB,2024-11,310
SKU_0003,EKB,2024-12,306
SKU_0003,EKB,2025-01,380
SKU_0003,EKB,2025-02,283
SKU_0003,EKB,2025-03,212
SKU_0003,EKB,2025-04,302
SKU_0003,EKB,2025-05,218
SKU_0003,EKB,2025-06,183
SKU_0003,EKB,2025-07,209
SKU_0003,EKB,2025-08,246
SKU_0003,EKB,2025-09,276
SKU_0003,EKB,2025-10,314
SKU_0003,EKB,2025-11,355
SKU_0003,EKB,2025-12,290
SKU_0003,MSK,2023-01,834
SKU_0003,MSK,2023-02,729
SKU_0003,MSK,2023-03,666
SKU_0003,MSK,2023-04,502
SKU_0003,MSK,2023-05,447
SKU_0003,MSK,2023-06,455
SKU_0003,MSK,2023-07,491
SKU_0003,MSK,2023-08,581
SKU_0003,MSK,2023-09,575
SKU_0003,MSK,2023-10,763
SKU_0003,MSK,2023-11,689
SKU_0003,MSK,2023-12,747
SKU_0003,MSK,2024-01,905
SKU_0003,MSK,2024-02,568
SKU_0003,MSK,2024-03,609
SKU_0003,MSK,2024-04,590
SKU_0003,MSK,2024-05,542
SKU_0003,MSK,2024-06,476
SKU_0003,MSK,2024-07,681
SKU_0003,MSK,2024-08,629
SKU_0003,MSK,2024-09,637
SKU_0003,MSK,2024-10,624
SKU_0003,MSK,2024-11,721
SKU_0003,MSK,2024-12,711
SKU_0003,MSK,2025-01,883
SKU_0003,MSK,2025-02,659
SKU_0003,MSK,2025-03,493
SKU_0003,MSK,2025-04,703
SKU_0003,MSK,2025-05,508
SKU_0003,MSK,2025-06,426
SKU_0003,MSK,2025-07,486
SKU_0003,MSK,2025-08,572
SKU_0003,MSK,2025-09,643
SKU_0003,MSK,2025-10,731
SKU_0003,MSK,2025-11,825
SKU_0003,MSK,2025-12,674
SKU_0004,MSK,2023-01,499
SKU_0004,MSK,2023-02,652
SKU_0004,MSK,2023-03,651
SKU_0004,MSK,2023-04,643
SKU_0004,MSK,2023-05,905
SKU_0004,MSK,2023-06,771
SKU_0004,MSK,2023-07,616
SKU_0004,MSK,2023-08,747
SKU_0004,MSK,2023-09,587
SKU_0004,MSK,2023-10,459
SKU_0004,MSK,2023-11,348
SKU_0004,MSK,2023-12,522
SKU_0004,MSK,2024-01,609
SKU_0004,MSK,2024-01,609
SKU_0004,MSK,2024-02,530
SKU_0004,MSK,2024-03,915
SKU_0004,MSK,2024-04,851
SKU_0004,MSK,2024-05,797
SKU_0004,MSK,2024-06,921
SKU_0004,MSK,2024-07,896
SKU_0004,MSK,2024-08,865
SKU_0004,MSK,2024-09,604
SKU_0004,MSK,2024-10,488
SKU_0004,MSK,2024-11,544
SKU_0004,MSK,2024-12,646
SKU_0004,MSK,2025-01,610
SKU_0004,MSK,2025-02,862
SKU_0004,MSK,2025-03,861
SKU_0004,MSK,2025-04,844
SKU_0004,MSK,2025-05,1049
SKU_0004,MSK,2025-06,1059
SKU_0004,MSK,2025-07,693
SKU_0004,MSK,2025-08,631
SKU_0004,MSK,2025-09,707
SKU_0004,MSK,2025-10,580
SKU_0004,MSK,2025-11,605
SKU_0004,MSK,2025-12,648
SKU_0005,MSK,2023-01,563
SKU_0005,MSK,2023-02,684
SKU_0005,MSK,2023-03,877
SKU_0005,MSK,2023-04,712
SKU_0005,MSK,2023-05,639
SKU_0005,MSK,2023-06,537
SKU_0005,MSK,2023-09,501
SKU_0005,MSK,2023-10,297
SKU_0005,MSK,2023-11,651
SKU_0005,MSK,2023-12,636
SKU_0005,MSK,2024-01,838
SKU_0005,MSK,2024-02,590
SKU_0005,MSK,2024-03,762
SKU_0005,MSK,2024-04,667
SKU_0005,MSK,2024-05,689
SKU_0005,MSK,2024-06,545
SKU_0005,MSK,2024-07,401
SKU_0005,MSK,2024-09,521
SKU_0005,MSK,2024-10,520
SKU_0005,MSK,2024-11,611
SKU_0005,MSK,2024-12,709
SKU_0005,MSK,2025-01,831
SKU_0005,MSK,2025-02,666
SKU_0005,MSK,2025-03,728
SKU_0005,MSK,2025-04,744
SKU_0005,MSK,2025-06,627
SKU_0005,MSK,2025-07,633
SKU_0005,MSK,2025-08,615
SKU_0005,MSK,2025-09,593
SKU_0005,MSK,2025-10,613
SKU_0005,MSK,2025-11,669
SKU_0005,MSK,2025-12,610
SKU_0006,MSK,2023-01,163
SKU_0006,MSK,2023-02,151
SKU_0006,MSK,2023-03,157
SKU_0006,MSK,2023-04,132
SKU_0006,MSK,2023-05,123
SKU_0006,MSK,2023-06,101
SKU_0006,MSK,2023-07,88
SKU_0006,MSK,2023-08,100
SKU_0006,MSK,2023-09,91
SKU_0006,MSK,2023-10,110
SKU_0006,MSK,2023-11,115
SKU_0006,MSK,2023-12,138
SKU_0006,MSK,2024-01,155
SKU_0006,MSK,2024-02,116
SKU_0006,MSK,2024-03,476
SKU_0006,MSK,2024-04,141
SKU_0006,MSK,2024-05,128
SKU_0006,MSK,2024-06,123
SKU_0006,MSK,2024-07,97
SKU_0006,MSK,2024-08,93
SKU_0006,MSK,2024-09,101
SKU_0006,MSK,2024-10,102
SKU_0006,MSK,2024-11,121
SKU_0006,MSK,2024-12,138
SKU_0006,MSK,2025-01,154
SKU_0006,MSK,2025-02,160
SKU_0006,MSK,2025-03,179
SKU_0006,MSK,2025-04,134
SKU_0006,MSK,2025-05,129
SKU_0006,MSK,2025-06,117
SKU_0006,MSK,2025-07,97
SKU_0006,MSK,2025-08,90
SKU_0006,MSK,2025-09,97
SKU_0006,MSK,2025-10,103
SKU_0006,MSK,2025-11,132
SKU_0006,MSK,2025-12,164
SKU_0007,MSK,2023-01,1171
SKU_0007,MSK,2023-02,947
SKU_0007,MSK,2023-03,1058
SKU_0007,MSK,2023-04,1200
SKU_0007,MSK,2023-05,1383
SKU_0007,MSK,2023-06,1535
SKU_0007,MSK,2023-07,1735
SKU_0007,MSK,2023-08,1481
SKU_0007,MSK,2023-09,0
SKU_0007,MSK,2023-10,0
SKU_0007,MSK,2023-11,1749
SKU_0007,MSK,2023-12,1550
SKU_0007,MSK,2024-01,1452
SKU_0007,MSK,2024-02,1294
SKU_0007,MSK,2024-03,1093
SKU_0007,MSK,2024-04,1000
SKU_0007,MSK,2024-05,1349
SKU_0007,MSK,2024-06,1713
SKU_0007,MSK,2024-07,1530
SKU_0007,MSK,2024-08,1441
SKU_0007,MSK,2024-09,2055
SKU_0007,MSK,2024-10,2067
SKU_0007,MSK,2024-11,1817
SKU_0007,MSK,2024-12,1630
SKU_0007,MSK,2025-01,1288
SKU_0007,MSK,2025-02,1430
SKU_0007,MSK,2025-03,1162
SKU_0007,MSK,2025-04,1334
SKU_0007,MSK,2025-05,1125
SKU_0007,MSK,2025-06,1558
SKU_0007,MSK,2025-07,1412
SKU_0007,MSK,2025-08,1732
SKU_0007,MSK,2025-09,1964
SKU_0007,MSK,2025-10,1936
SKU_0007,MSK,2025-11,1785
SKU_0007,MSK,2025-12,2095
SKU_0008,EKB,2023-01,132
SKU_0008,EKB,2023-02,148
SKU_0008,EKB,2023-03,178
SKU_0008,EKB,2023-04,242
SKU_0008,EKB,2023-05,163
SKU_0008,EKB,2023-06,337
SKU_0008,EKB,2023-07,216
SKU_0008,EKB,2023-08,327
SKU_0008,EKB,2023-09,232
SKU_0008,EKB,2023-10,178
SKU_0008,EKB,2023-11,180
SKU_0008,EKB,2023-12,188
SKU_0008,EKB,2024-01,191
SKU_0008,EKB,2024-02,179
SKU_0008,EKB,2024-03,193
SKU_0008,EKB,2024-04,174
SKU_0008,EKB,2024-05,241
SKU_0008,EKB,2024-06,353
SKU_0008,EKB,2024-07,279
SKU_0008,EKB,2024-08,324
SKU_0008,EKB,2024-09,246
SKU_0008,EKB,2024-10,267
SKU_0008,EKB,2024-11,213
SKU_0008,EKB,2024-12,201
SKU_0008,EKB,2025-01,177
SKU_0008,EKB,2025-02,259
SKU_0008,EKB,2025-03,181
SKU_0008,EKB,2025-04,250
SKU_0008,EKB,2025-05,312
SKU_0008,EKB,2025-06,362
SKU_0008,EKB,2025-07,417
SKU_0008,EKB,2025-08,288
SKU_0008,EKB,2025-09,337
SKU_0008,EKB,2025-10,267
SKU_0008,EKB,2025-11,295
SKU_0008,EKB,2025-12,197
SKU_0008,MSK,2023-01,395
SKU_0008,MSK,2023-02,443
SKU_0008,MSK,2023-03,533
SKU_0008,MSK,2023-04,723
SKU_0008,MSK,2023-05,486
SKU_0008,MSK,2023-06,1009
SKU_0008,MSK,2023-07,645
SKU_0008,MSK,2023-08,979
SKU_0008,MSK,2023-09,694
SKU_0008,MSK,2023-10,532
SKU_0008,MSK,2023-11,537
SKU_0008,MSK,2023-12,563
SKU_0008,MSK,2024-01,572
SKU_0008,MSK,2024-02,537
SKU_0008,MSK,2024-03,578
SKU_0008,MSK,2024-04,519
SKU_0008,MSK,2024-05,721
SKU_0008,MSK,2024-06,1056
SKU_0008,MSK,2024-07,836
SKU_0008,MSK,2024-08,970
SKU_0008,MSK,2024-09,735
SKU_0008,MSK,2024-10,798
SKU_0008,MSK,2024-11,639
SKU_0008,MSK,2024-12,601
SKU_0008,MSK,2025-01,529
SKU_0008,MSK,2025-02,775
SKU_0008,MSK,2025-03,542
SKU_0008,MSK,2025-04,747
SKU_0008,MSK,2025-05,932
SKU_0008,MSK,2025-06,1083
SKU_0008,MSK,2025-07,1246
SKU_0008,MSK,2025-08,862
SKU_0008,MSK,2025-09,1007
SKU_0008,MSK,2025-10,799
SKU_0008,MSK,2025-11,883
SKU_0008,MSK,2025-12,588
SKU_0009,MSK,2023-01,8
SKU_0009,MSK,2023-02,7
SKU_0009,MSK,2023-03,0
SKU_0009,MSK,2023-04,7
SKU_0009,MSK,2023-05,5
SKU_0009,MSK,2023-06,0
SKU_0009,MSK,2023-07,0
SKU_0009,MSK,2023-08,0
SKU_0009,MSK,2023-09,0
SKU_0009,MSK,2023-10,0
SKU_0009,MSK,2023-11,0
SKU_0009,MSK,2023-12,0
SKU_0009,MSK,2024-01,0
SKU_0009,MSK,2024-02,0
SKU_0009,MSK,2024-03,0
SKU_0009,MSK,2024-04,0
SKU_0009,MSK,2024-05,0
SKU_0009,MSK,2024-06,6
SKU_0009,MSK,2024-07,0
SKU_0009,MSK,2024-08,8
SKU_0009,MSK,2024-09,0
SKU_0009,MSK,2024-10,0
SKU_0009,MSK,2024-11,0
SKU_0009,MSK,2024-12,12
SKU_0009,MSK,2025-01,10
SKU_0009,MSK,2025-02,0
SKU_0009,MSK,2025-03,0
SKU_0009,MSK,2025-04,0
SKU_0009,MSK,2025-05,0
SKU_0009,MSK,2025-06,6
SKU_0009,MSK,2025-07,0
SKU_0009,MSK,2025-08,7
SKU_0009,MSK,2025-09,0
SKU_0009,MSK,2025-10,0
SKU_0009,MSK,2025-11,0
SKU_0009,MSK,2025-12,0
SKU_0010,MSK,2023-01,2572
SKU_0010,MSK,2023-02,2948
SKU_0010,MSK,2023-03,3565
SKU_0010,MSK,2023-04,1952
SKU_0010,MSK,2023-05,2974
SKU_0010,MSK,2023-06,2408
SKU_0010,MSK,2023-07,3056
SKU_0010,MSK,2023-08,3610
SKU_0010,MSK,2023-09,3642
SKU_0010,MSK,2023-10,3739
SKU_0010,MSK,2023-11,3059
SKU_0010,MSK,2023-12,4349
SKU_0010,MSK,2024-01,3268
SKU_0010,MSK,2024-02,2280
SKU_0010,MSK,2024-03,1637
SKU_0010,MSK,2024-04,2119
SKU_0010,MSK,2024-05,2738
SKU_0010,MSK,2024-06,2646
SKU_0010,MSK,2024-07,3145
SKU_0010,MSK,2024-08,3927
SKU_0010,MSK,2024-09,3917
SKU_0010,MSK,2024-10,2965
SKU_0010,MSK,2024-11,3758
SKU_0010,MSK,2024-12,2824
SKU_0010,MSK,2025-01,3598
SKU_0010,MSK,2025-02,2671
SKU_0010,MSK,2025-03,2849
SKU_0010,MSK,2025-04,2374
SKU_0010,MSK,2025-05,2279
SKU_0010,MSK,2025-06,3014
SKU_0010,MSK,2025-07,2811
SKU_0010,MSK,2025-08,3444
SKU_0010,MSK,2025-09,4076
SKU_0010,MSK,2025-10,2855
SKU_0010,MSK,2025-11,4080
SKU_0010,MSK,2025-12,4876
SKU_0011,MSK,2023-01,551
SKU_0011,MSK,2023-02,644
SKU_0011,MSK,2023-03,658
SKU_0011,MSK,2023-04,578
SKU_0011,MSK,2023-05,762
SKU_0011,MSK,2023-06,745
SKU_0011,MSK,2023-07,647
SKU_0011,MSK,2023-08,580
SKU_0011,MSK,2023-09,681
SKU_0011,MSK,2023-10,694
SKU_0011,MSK,2023-11,488
SKU_0011,MSK,2023-12,438
SKU_0011,MSK,2024-01,521
SKU_0011,MSK,2024-02,785
SKU_0011,MSK,2024-03,654
SKU_0011,MSK,2024-04,851
SKU_0011,MSK,2024-05,846
SKU_0011,MSK,2024-06,793
SKU_0011,MSK,2024-07,679
SKU_0011,MSK,2024-08,627
SKU_0011,MSK,2024-09,424
SKU_0012,MSK,2023-01,546
SKU_0012,MSK,2023-02,458
SKU_0012,MSK,2023-03,725
SKU_0012,MSK,2023-04,726
SKU_0012,MSK,2023-05,798
SKU_0012,MSK,2023-06,624
SKU_0012,MSK,2023-07,600
SKU_0012,MSK,2023-08,681
SKU_0012,MSK,2023-09,552
SKU_0012,MSK,2023-10,572
SKU_0012,MSK,2023-11,448
SKU_0012,MSK,2023-12,627
SKU_0012,MSK,2024-01,703
SKU_0012,MSK,2024-02,802
SKU_0012,MSK,2024-03,835
SKU_0012,MSK,2024-04,746
SKU_0012,MSK,2024-05,929
SKU_0012,MSK,2024-06,840
SKU_0012,MSK,2024-07,758
SKU_0012,MSK,2024-08,790
SKU_0012,MSK,2024-09,0
SKU_0012,MSK,2024-10,0
SKU_0012,MSK,2024-11,0
SKU_0012,MSK,2024-12,631
SKU_0012,MSK,2025-01,785
SKU_0012,MSK,2025-02,804
SKU_0012,MSK,2025-03,979
SKU_0012,MSK,2025-04,966
SKU_0012,MSK,2025-05,1000
SKU_0012,MSK,2025-06,874
SKU_0012,MSK,2025-07,767
SKU_0012,MSK,2025-08,661
SKU_0012,MSK,2025-09,641
SKU_0012,MSK,2025-10,606
SKU_0012,MSK,2025-11,526
SKU_0012,MSK,2025-12,710
SKU_0013,MSK,2023-01,1005
SKU_0013,MSK,2023-02,1359
SKU_0013,MSK,2023-03,1460
SKU_0013,MSK,2023-04,1799
SKU_0013,MSK,2023-05,1559
SKU_0013,MSK,2023-06,1644
SKU_0013,MSK,2023-07,2362
SKU_0013,MSK,2023-08,1669
SKU_0013,MSK,2023-09,1600
SKU_0013,MSK,2023-10,1314
SKU_0013,MSK,2023-11,1221
SKU_0013,MSK,2023-12,949
SKU_0013,MSK,2024-01,1301
SKU_0013,MSK,2024-02,1486
SKU_0013,MSK,2024-03,1843
SKU_0013,MSK,2024-04,1373
SKU_0013,MSK,2024-05,2100
SKU_0013,MSK,2024-06,1992
SKU_0013,MSK,2024-07,1685
SKU_0013,MSK,2024-08,2142
SKU_0013,MSK,2024-09,1704
SKU_0013,MSK,2024-10,1453
SKU_0013,MSK,2024-11,1310
SKU_0013,MSK,2024-12,1405
SKU_0013,MSK,2025-01,1511
SKU_0013,MSK,2025-02,1302
SKU_0013,MSK,2025-03,1817
SKU_0013,MSK,2025-04,7202
SKU_0013,MSK,2025-05,1798
SKU_0013,MSK,2025-06,2395
SKU_0013,MSK,2025-07,2723
SKU_0013,MSK,2025-08,2198
SKU_0013,MSK,2025-09,1885
SKU_0013,MSK,2025-10,1903
SKU_0013,MSK,2025-11,1568
SKU_0013,MSK,2025-12,1182
SKU_0014,MSK,2023-01,1230
SKU_0014,MSK,2023-02,1270
SKU_0014,MSK,2023-03,1540
SKU_0014,MSK,2023-04,1632
SKU_0014,MSK,2023-05,1762
SKU_0014,MSK,2023-06,1580
SKU_0014,MSK,2023-07,1296
SKU_0014,MSK,2023-08,1391
SKU_0014,MSK,2023-09,1476
SKU_0014,MSK,2023-10,1288
SKU_0014,MSK,2023-11,1202
SKU_0014,MSK,2023-12,966
SKU_0014,MSK,2024-01,1490
SKU_0014,MSK,2024-02,1262
SKU_0014,MSK,2024-03,1591
SKU_0014,MSK,2024-04,1896
SKU_0014,MSK,2024-05,1333
SKU_0014,MSK,2024-06,-8
SKU_0014,MSK,2024-07,1254
SKU_0014,MSK,2024-08,2057
SKU_0014,MSK,2024-09,1662
SKU_0014,MSK,2024-10,1203
SKU_0014,MSK,2024-11,1067
SKU_0014,MSK,2024-12,1488
SKU_0014,MSK,2025-01,1426
SKU_0014,MSK,2025-02,1345
SKU_0014,MSK,2025-03,1212
SKU_0014,MSK,2025-04,1947
SKU_0014,MSK,2025-05,2220
SKU_0014,MSK,2025-06,1806
SKU_0014,MSK,2025-07,2321
SKU_0014,MSK,2025-08,1869
SKU_0014,MSK,2025-09,1192
SKU_0014,MSK,2025-10,1269
SKU_0014,MSK,2025-11,1393
SKU_0014,MSK,2025-12,1302
SKU_0015,MSK,2023-01,0
SKU_0015,MSK,2023-02,0
SKU_0015,MSK,2023-03,0
SKU_0015,MSK,2023-04,7
SKU_0015,MSK,2023-05,0
SKU_0015,MSK,2023-06,0
SKU_0015,MSK,2023-07,0
SKU_0015,MSK,2023-08,0
SKU_0015,MSK,2023-09,0
SKU_0015,MSK,2023-10,0
SKU_0015,MSK,2023-11,5
SKU_0015,MSK,2023-12,0
SKU_0015,MSK,2024-01,0
SKU_0015,MSK,2024-02,0
SKU_0015,MSK,2024-03,0
SKU_0015,MSK,2024-04,9
SKU_0015,MSK,2024-05,8
SKU_0015,MSK,2024-06,0
SKU_0015,MSK,2024-07,0
SKU_0015,MSK,2024-08,0
SKU_0015,MSK,2024-09,0
SKU_0015,MSK,2024-10,0
SKU_0015,MSK,2024-11,5
SKU_0015,MSK,2024-12,6
SKU_0015,MSK,2025-01,8
SKU_0015,MSK,2025-02,0
SKU_0015,MSK,2025-03,0
SKU_0015,MSK,2025-04,0
SKU_0015,MSK,2025-05,0
SKU_0015,MSK,2025-06,0
SKU_0015,MSK,2025-07,0
SKU_0015,MSK,2025-08,7
SKU_0015,MSK,2025-09,6
SKU_0015,MSK,2025-10,0
SKU_0015,MSK,2025-11,0
SKU_0015,MSK,2025-12,0
SKU_0016,MSK,2023-01,130
SKU_0016,MSK,2023-02,116
SKU_0016,MSK,2023-03,170
SKU_0016,MSK,2023-04,159
SKU_0016,MSK,2023-05,113
SKU_0016,MSK,2023-06,114
SKU_0016,MSK,2023-07,108
SKU_0016,MSK,2023-08,102
SKU_0016,MSK,2023-09,114
SKU_0016,MSK,2023-10,93
SKU_0016,MSK,2023-11,105
SKU_0016,MSK,2023-12,110
SKU_0016,MSK,2024-01,132
SKU_0016,MSK,2024-02,150
SKU_0016,MSK,2024-03,137
SKU_0016,MSK,2024-04,152
SKU_0016,MSK,2024-05,131
SKU_0016,MSK,2024-06,190
SKU_0016,MSK,2024-07,134
SKU_0016,MSK,2024-08,109
SKU_0016,MSK,2024-09,128
SKU_0016,MSK,2024-10,93
SKU_0016,MSK,2024-11,95
SKU_0016,MSK,2024-12,105
SKU_0016,MSK,2025-01,141
SKU_0016,MSK,2025-02,147
SKU_0016,MSK,2025-03,159
SKU_0016,MSK,2025-04,159
SKU_0016,MSK,2025-05,163
SKU_0016,MSK,2025-06,150
SKU_0016,MSK,2025-07,137
SKU_0016,MSK,2025-08,108
SKU_0016,MSK,2025-09,110
SKU_0016,MSK,2025-10,85
SKU_0016,MSK,2025-11,99
SKU_0016,MSK,2025-12,137
SKU_0017,EKB,2023-01,24
SKU_0017,EKB,2023-02,25
SKU_0017,EKB,2023-03,29
SKU_0017,EKB,2023-04,27
SKU_0017,EKB,2023-05,37
SKU_0017,EKB,2023-06,33
SKU_0017,EKB,2023-07,38
SKU_0017,EKB,2023-08,43
SKU_0017,EKB,2023-09,41
SKU_0017,EKB,2023-10,32
SKU_0017,EKB,2023-11,32
SKU_0017,EKB,2023-12,26
SKU_0017,EKB,2024-01,25
SKU_0017,EKB,2024-02,23
SKU_0017,EKB,2024-03,25
SKU_0017,EKB,2024-04,36
SKU_0017,EKB,2024-05,37
SKU_0017,EKB,2024-06,38
SKU_0017,EKB,2024-07,45
SKU_0017,EKB,2024-08,41
SKU_0017,EKB,2024-09,37
SKU_0017,EKB,2024-10,24
SKU_0017,EKB,2024-11,26
SKU_0017,EKB,2024-12,20
SKU_0017,EKB,2025-01,22
SKU_0017,EKB,2025-02,27
SKU_0017,EKB,2025-03,29
SKU_0017,EKB,2025-04,29
SKU_0017,EKB,2025-05,36
SKU_0017,EKB,2025-06,43
SKU_0017,EKB,2025-07,27
SKU_0017,EKB,2025-08,40
SKU_0017,EKB,2025-09,31
SKU_0017,EKB,2025-10,35
SKU_0017,EKB,2025-11,34
SKU_0017,EKB,2025-12,29
SKU_0017,MSK,2023-01,93
SKU_0017,MSK,2023-02,98
SKU_0017,MSK,2023-03,111
SKU_0017,MSK,2023-04,103
SKU_0017,MSK,2023-05,142
SKU_0017,MSK,2023-06,128
SKU_0017,MSK,2023-07,146
SKU_0017,MSK,2023-08,166
SKU_0017,MSK,2023-09,157
SKU_0017,MSK,2023-10,124
SKU_0017,MSK,2023-11,122
SKU_0017,MSK,2023-12,101
SKU_0017,MSK,2024-01,96
SKU_0017,MSK,2024-02,87
SKU_0017,MSK,2024-03,98
SKU_0017,MSK,2024-04,141
SKU_0017,MSK,2024-05,144
SKU_0017,MSK,2024-06,148
SKU_0017,MSK,2024-07,172
SKU_0017,MSK,2024-08,157
SKU_0017,MSK,2024-09,141
SKU_0017,MSK,2024-10,94
SKU_0017,MSK,2024-11,100
SKU_0017,MSK,2024-12,77
SKU_0017,MSK,2025-01,84
SKU_0017,MSK,2025-02,104
SKU_0017,MSK,2025-03,110
SKU_0017,MSK,2025-04,113
SKU_0017,MSK,2025-05,138
SKU_0017,MSK,2025-06,164
SKU_0017,MSK,2025-07,105
SKU_0017,MSK,2025-08,156
SKU_0017,MSK,2025-09,121
SKU_0017,MSK,2025-10,135
SKU_0017,MSK,2025-11,130
SKU_0017,MSK,2025-12,113
SKU_0018,MSK,2023-01,189
SKU_0018,MSK,2023-02,161
SKU_0018,MSK,2023-03,193
SKU_0018,MSK,2023-04,217
SKU_0018,MSK,2023-05,256
SKU_0018,MSK,2023-06,269
SKU_0018,MSK,2023-07,358
SKU_0018,MSK,2023-08,289
SKU_0018,MSK,2023-09,287
SKU_0018,MSK,2023-10,310
SKU_0018,MSK,2023-11,309
SKU_0018,MSK,2023-12,280
SKU_0018,MSK,2024-01,246
SKU_0018,MSK,2024-02,258
SKU_0018,MSK,2024-03,196
SKU_0018,MSK,2024-04,292
SKU_0018,MSK,2024-05,258
SKU_0018,MSK,2024-06,333
SKU_0018,MSK,2024-07,400250
SKU_0018,MSK,2024-08,339255
SKU_0018,MSK,2024-09,363492
SKU_0018,MSK,2024-10,271040
SKU_0018,MSK,2024-11,285040
SKU_0018,MSK,2024-12,261844
SKU_0018,MSK,2025-01,230350
SKU_0018,MSK,2025-02,198363
SKU_0018,MSK,2025-03,254370
SKU_0018,MSK,2025-04,318733
SKU_0018,MSK,2025-05,327282
SKU_0018,MSK,2025-06,352647
SKU_0018,MSK,2025-07,393076
SKU_0018,MSK,2025-08,335326
SKU_0018,MSK,2025-09,406748
SKU_0018,MSK,2025-10,388333
SKU_0018,MSK,2025-11,363211
SKU_0018,MSK,2025-12,277243
SKU_0019,MSK,2023-01,108
SKU_0019,MSK,2023-02,89
SKU_0019,MSK,2023-03,96
SKU_0019,MSK,2023-04,89
SKU_0019,MSK,2023-05,103
SKU_0019,MSK,2023-06,123
SKU_0019,MSK,2023-07,125
SKU_0019,MSK,2023-08,158
SKU_0019,MSK,2023-09,152
SKU_0019,MSK,2023-10,158
SKU_0019,MSK,2023-11,142
SKU_0019,MSK,2023-12,118
SKU_0019,MSK,2024-01,106
SKU_0019,MSK,2024-02,104
SKU_0019,MSK,2024-03,77
SKU_0019,MSK,2024-04,85
SKU_0019,MSK,2024-05,113
SKU_0019,MSK,2024-06,127
SKU_0019,MSK,2024-07,138
SKU_0019,MSK,2024-08,132
SKU_0019,MSK,2024-09,156
SKU_0019,MSK,2024-10,135
SKU_0019,MSK,2024-11,132
SKU_0019,MSK,2024-12,132
SKU_0019,MSK,2025-01,95
SKU_0019,MSK,2025-02,104
SKU_0019,MSK,2025-02,104
SKU_0019,MSK,2025-03,100
SKU_0019,MSK,2025-04,99
