sku,location,period,stock_end_qty,days_out_of_stock
SKU_0006,MSK,2023-01,153,0
SKU_0006,MSK,2023-02,186,0
SKU_0006,MSK,2023-03,83,0
SKU_0006,MSK,2023-04,119,0
SKU_0006,MSK,2023-05,132,0
SKU_0006,MSK,2023-06,100,0
SKU_0006,MSK,2023-07,63,0
SKU_0006,MSK,2023-08,58,0
SKU_0006,MSK,2023-09,124,0
SKU_0006,MSK,2023-10,191,0
SKU_0006,MSK,2023-11,122,0
SKU_0006,MSK,2023-12,184,0
SKU_0006,MSK,2024-01,269,0
SKU_0006,MSK,2024-02,131,0
SKU_0006,MSK,2024-03,749,0
SKU_0006,MSK,2024-04,135,0
SKU_0006,MSK,2024-05,104,0
SKU_0006,MSK,2024-06,153,0
SKU_0006,MSK,2024-07,140,0
SKU_0006,MSK,2024-08,162,0
SKU_0006,MSK,2024-09,101,0
SKU_0006,MSK,2024-10,170,0
SKU_0006,MSK,2024-11,171,0
SKU_0006,MSK,2024-12,192,0
SKU_0006,MSK,2025-01,213,0
SKU_0006,MSK,2025-02,237,0
SKU_0006,MSK,2025-03,75,0
SKU_0006,MSK,2025-04,215,0
SKU_0006,MSK,2025-05,197,0
SKU_0006,MSK,2025-06,77,0
SKU_0006,MSK,2025-07,142,0
SKU_0006,MSK,2025-08,154,0
SKU_0006,MSK,2025-09,87,0
SKU_0006,MSK,2025-10,80,0
SKU_0006,MSK,2025-11,54,0
SKU_0006,MSK,2025-12,133,0
SKU_0007,MSK,2023-01,930,0
SKU_0007,MSK,2023-02,914,0
SKU_0007,MSK,2023-03,1891,0
SKU_0007,MSK,2023-04,920,0
SKU_0007,MSK,2023-05,616,0
SKU_0007,MSK,2023-06,1976,0
SKU_0007,MSK,2023-07,1013,0
SKU_0007,MSK,2023-08,1881,0
SKU_0007,MSK,2023-09,0,30
SKU_0007,MSK,2023-10,0,30
SKU_0007,MSK,2023-11,2080,0
SKU_0007,MSK,2023-12,1417,0
SKU_0007,MSK,2024-01,1972,0
SKU_0007,MSK,2024-02,704,0
SKU_0007,MSK,2024-03,655,0
SKU_0007,MSK,2024-04,554,0
SKU_0007,MSK,2024-05,693,0
SKU_0007,MSK,2024-06,1211,0
SKU_0007,MSK,2024-07,1855,0
SKU_0007,MSK,2024-08,966,0
SKU_0007,MSK,2024-09,924,0
SKU_0007,MSK,2024-10,1091,0
SKU_0007,MSK,2024-11,748,0
SKU_0007,MSK,2024-12,1712,0
SKU_0007,MSK,2025-01,998,0
SKU_0007,MSK,2025-02,1921,0
SKU_0007,MSK,2025-03,2008,0
SKU_0007,MSK,2025-04,1025,0
SKU_0007,MSK,2025-05,904,0
SKU_0007,MSK,2025-06,1272,0
SKU_0007,MSK,2025-07,1154,0
SKU_0007,MSK,2025-08,1564,0
SKU_0007,MSK,2025-09,2865,0
SKU_0007,MSK,2025-10,1588,0
SKU_0007,MSK,2025-11,2217,0
SKU_0007,MSK,2025-12,3459,0
SKU_0008,EKB,2023-01,61,0
SKU_0008,EKB,2023-02,71,0
SKU_0008,EKB,2023-03,259,0
SKU_0008,EKB,2023-04,169,0
SKU_0008,EKB,2023-05,268,0
SKU_0008,EKB,2023-06,455,0
SKU_0008,EKB,2023-07,327,0
SKU_0008,EKB,2023-08,426,0
SKU_0008,EKB,2023-09,201,0
SKU_0008,EKB,2023-10,81,0
SKU_0008,EKB,2023-11,131,0
SKU_0008,EKB,2023-12,116,0
SKU_0008,EKB,2024-01,200,0
SKU_0008,EKB,2024-02,144,0
SKU_0008,EKB,2024-03,241,0
SKU_0008,EKB,2024-04,108,0
SKU_0008,EKB,2024-05,157,0
SKU_0008,EKB,2024-06,177,0
SKU_0008,EKB,2024-07,259,0
SKU_0008,EKB,2024-08,257,0
SKU_0008,EKB,2024-09,279,0
SKU_0008,EKB,2024-10,273,0
SKU_0008,EKB,2024-11,126,0
SKU_0008,EKB,2024-12,317,0
SKU_0008,EKB,2025-01,98,0
SKU_0008,EKB,2025-02,204,0
SKU_0008,EKB,2025-03,264,0
SKU_0008,EKB,2025-04,338,0
SKU_0008,EKB,2025-05,405,0
SKU_0008,EKB,2025-06,445,0
SKU_0008,EKB,2025-07,266,0
SKU_0008,EKB,2025-08,498,0
SKU_0008,EKB,2025-09,376,0
SKU_0008,EKB,2025-10,220,0
SKU_0008,EKB,2025-11,458,0
SKU_0008,EKB,2025-12,129,0
SKU_0008,MSK,2023-01,194,0
SKU_0008,MSK,2023-02,625,0
SKU_0008,MSK,2023-03,507,0
SKU_0008,MSK,2023-04,440,0
SKU_0008,MSK,2023-05,611,0
SKU_0008,MSK,2023-06,1655,0
SKU_0008,MSK,2023-07,855,0
SKU_0008,MSK,2023-08,1003,0
SKU_0008,MSK,2023-09,414,0
SKU_0008,MSK,2023-10,515,0
SKU_0008,MSK,2023-11,491,0
SKU_0008,MSK,2023-12,259,0
SKU_0008,MSK,2024-01,990,0
SKU_0008,MSK,2024-02,458,0
SKU_0008,MSK,2024-03,337,0
SKU_0008,MSK,2024-04,827,0
SKU_0008,MSK,2024-05,414,0
SKU_0008,MSK,2024-06,768,0
SKU_0008,MSK,2024-07,696,0
SKU_0008,MSK,2024-08,1738,0
SKU_0008,MSK,2024-09,485,0
SKU_0008,MSK,2024-10,861,0
SKU_0008,MSK,2024-11,965,0
SKU_0008,MSK,2024-12,617,0
SKU_0008,MSK,2025-01,614,0
SKU_0008,MSK,2025-02,787,0
SKU_0008,MSK,2025-03,648,0
SKU_0008,MSK,2025-04,774,0
SKU_0008,MSK,2025-05,1175,0
SKU_0008,MSK,2025-06,1706,0
SKU_0008,MSK,2025-07,1516,0
SKU_0008,MSK,2025-08,1502,0
SKU_0008,MSK,2025-09,492,0
SKU_0008,MSK,2025-10,874,0
SKU_0008,MSK,2025-11,541,0
SKU_0008,MSK,2025-12,918,0
SKU_0009,MSK,2023-01,4,0
SKU_0009,MSK,2023-02,10,0
SKU_0009,MSK,2023-03,1,0
SKU_0009,MSK,2023-04,11,0
SKU_0009,MSK,2023-05,7,0
SKU_0009,MSK,2023-06,1,0
SKU_0009,MSK,2023-07,2,0
SKU_0009,MSK,2023-08,1,0
SKU_0009,MSK,2023-09,1,0
SKU_0009,MSK,2023-10,1,0
SKU_0009,MSK,2023-11,2,0
SKU_0009,MSK,2023-12,2,0
SKU_0009,MSK,2024-01,2,0
SKU_0009,MSK,2024-02,1,0
SKU_0009,MSK,2024-03,0,0
SKU_0009,MSK,2024-04,1,0
SKU_0009,MSK,2024-05,1,0
SKU_0009,MSK,2024-06,4,0
SKU_0009,MSK,2024-07,1,0
SKU_0009,MSK,2024-08,4,0
SKU_0009,MSK,2024-09,2,0
SKU_0009,MSK,2024-10,2,0
SKU_0009,MSK,2024-11,1,0
SKU_0009,MSK,2024-12,17,0
SKU_0009,MSK,2025-01,8,0
SKU_0009,MSK,2025-02,1,0
SKU_0009,MSK,2025-03,1,0
SKU_0009,MSK,2025-04,2,0
SKU_0009,MSK,2025-05,1,0
SKU_0009,MSK,2025-06,8,0
SKU_0009,MSK,2025-07,2,0
SKU_0009,MSK,2025-08,9,0
SKU_0009,MSK,2025-09,1,0
SKU_0009,MSK,2025-10,0,0
SKU_0009,MSK,2025-11,1,0
SKU_0009,MSK,2025-12,1,0
SKU_0010,MSK,2023-01,1091,0
SKU_0010,MSK,2023-02,2082,0
SKU_0010,MSK,2023-03,3815,0
SKU_0010,MSK,2023-04,2118,0
SKU_0010,MSK,2023-05,2837,0
SKU_0010,MSK,2023-06,1400,0
SKU_0010,MSK,2023-07,4343,0
SKU_0010,MSK,2023-08,1649,0
SKU_0010,MSK,2023-09,3289,0
SKU_0010,MSK,2023-10,3482,0
SKU_0010,MSK,2023-11,2426,0
SKU_0010,MSK,2023-12,2393,0
SKU_0010,MSK,2024-01,3520,0
SKU_0010,MSK,2024-02,3518,0
SKU_0010,MSK,2024-03,2153,0
SKU_0010,MSK,2024-04,3521,0
SKU_0010,MSK,2024-05,3478,0
SKU_0010,MSK,2024-06,1068,0
SKU_0010,MSK,2024-07,1725,0
SKU_0010,MSK,2024-08,4552,0
SKU_0010,MSK,2024-09,4324,0
SKU_0010,MSK,2024-10,2074,0
SKU_0010,MSK,2024-11,3577,0
SKU_0010,MSK,2024-12,5002,0
SKU_0010,MSK,2025-01,4593,0
SKU_0010,MSK,2025-02,4169,0
SKU_0010,MSK,2025-03,2441,0
SKU_0010,MSK,2025-04,3337,0
SKU_0010,MSK,2025-05,3891,0
SKU_0010,MSK,2025-06,3582,0
SKU_0010,MSK,2025-07,3917,0
SKU_0010,MSK,2025-08,3851,0
SKU_0010,MSK,2025-09,5719,0
SKU_0010,MSK,2025-10,1320,0
SKU_0010,MSK,2025-11,2823,0
SKU_0010,MSK,2025-12,6332,0
SKU_0011,MSK,2023-01,971,0
SKU_0011,MSK,2023-02,361,0
SKU_0011,MSK,2023-03,481,0
SKU_0011,MSK,2023-04,642,0
SKU_0011,MSK,2023-05,1295,0
SKU_0011,MSK,2023-06,483,0
SKU_0011,MSK,2023-07,503,0
SKU_0011,MSK,2023-08,793,0
SKU_0011,MSK,2023-09,515,0
SKU_0011,MSK,2023-10,637,0
SKU_0011,MSK,2023-11,398,0
SKU_0011,MSK,2023-12,706,0
SKU_0011,MSK,2024-01,624,0
SKU_0011,MSK,2024-02,1298,0
SKU_0011,MSK,2024-03,682,0
SKU_0011,MSK,2024-04,1017,0
SKU_0011,MSK,2024-05,1492,0
SKU_0011,MSK,2024-06,743,0
SKU_0011,MSK,2024-07,942,0
SKU_0011,MSK,2024-08,632,0
SKU_0011,MSK,2024-09,186,0
SKU_0012,MSK,2023-01,975,0
SKU_0012,MSK,2023-02,448,0
SKU_0012,MSK,2023-03,1084,0
SKU_0012,MSK,2023-04,397,0
SKU_0012,MSK,2023-05,695,0
SKU_0012,MSK,2023-06,415,0
SKU_0012,MSK,2023-07,762,0
SKU_0012,MSK,2023-08,972,0
SKU_0012,MSK,2023-09,223,0
SKU_0012,MSK,2023-10,346,0
SKU_0012,MSK,2023-11,787,0
SKU_0012,MSK,2023-12,424,0
SKU_0012,MSK,2024-01,865,0
SKU_0012,MSK,2024-02,585,0
SKU_0012,MSK,2024-03,1373,0
SKU_0012,MSK,2024-04,538,0
SKU_0012,MSK,2024-05,812,0
SKU_0012,MSK,2024-06,546,0
SKU_0012,MSK,2024-07,520,0
SKU_0012,MSK,2024-08,434,0
SKU_0012,MSK,2024-09,0,30
SKU_0012,MSK,2024-10,0,30
SKU_0012,MSK,2024-11,0,30
SKU_0012,MSK,2024-12,995,0
SKU_0012,MSK,2025-01,667,0
SKU_0012,MSK,2025-02,668,0
SKU_0012,MSK,2025-03,490,0
SKU_0012,MSK,2025-04,576,0
SKU_0012,MSK,2025-05,1035,0
SKU_0012,MSK,2025-06,1350,0
SKU_0012,MSK,2025-07,1023,0
SKU_0012,MSK,2025-08,924,0
SKU_0012,MSK,2025-09,879,0
SKU_0012,MSK,2025-10,424,0
SKU_0012,MSK,2025-11,693,0
SKU_0012,MSK,2025-12,375,0
SKU_0013,MSK,2023-01,1633,0
SKU_0013,MSK,2023-02,2157,0
SKU_0013,MSK,2023-03,1585,0
SKU_0013,MSK,2023-04,946,0
SKU_0013,MSK,2023-05,2117,0
SKU_0013,MSK,2023-06,2924,0
SKU_0013,MSK,2023-07,2203,0
SKU_0013,MSK,2023-08,2901,0
SKU_0013,MSK,2023-09,1258,0
SKU_0013,MSK,2023-10,1164,0
SKU_0013,MSK,2023-11,1453,0
SKU_0013,MSK,2023-12,1475,0
SKU_0013,MSK,2024-01,2219,0
SKU_0013,MSK,2024-02,1734,0
SKU_0013,MSK,2024-03,1288,0
SKU_0013,MSK,2024-04,2373,0
SKU_0013,MSK,2024-05,1463,0
SKU_0013,MSK,2024-06,1118,0
SKU_0013,MSK,2024-07,1350,0
SKU_0013,MSK,2024-08,3601,0
SKU_0013,MSK,2024-09,2139,0
SKU_0013,MSK,2024-10,2234,0
SKU_0013,MSK,2024-11,1796,0
SKU_0013,MSK,2024-12,2050,0
SKU_0013,MSK,2025-01,1547,0
SKU_0013,MSK,2025-02,2250,0
SKU_0013,MSK,2025-03,2578,0
SKU_0013,MSK,2025-04,11717,0
SKU_0013,MSK,2025-05,2297,0
SKU_0013,MSK,2025-06,2675,0
SKU_0013,MSK,2025-07,2722,0
SKU_0013,MSK,2025-08,2999,0
SKU_0013,MSK,2025-09,2574,0
SKU_0013,MSK,2025-10,1405,0
SKU_0013,MSK,2025-11,1523,0
SKU_0013,MSK,2025-12,1338,0
SKU_0014,MSK,2023-01,1772,0
SKU_0014,MSK,2023-02,941,0
SKU_0014,MSK,2023-03,1874,0
SKU_0014,MSK,2023-04,1657,0
SKU_0014,MSK,2023-05,2343,0
SKU_0014,MSK,2023-06,2681,0
SKU_0014,MSK,2023-07,749,0
SKU_0014,MSK,2023-08,2267,0
SKU_0014,MSK,2023-09,1681,0
SKU_0014,MSK,2023-10,715,0
SKU_0014,MSK,2023-11,1826,0
SKU_0014,MSK,2023-12,1339,0
SKU_0014,MSK,2024-01,1865,0
SKU_0014,MSK,2024-02,702,0
SKU_0014,MSK,2024-03,872,0
SKU_0014,MSK,2024-04,1313,0
SKU_0014,MSK,2024-05,653,0
SKU_0014,MSK,2024-06,1,0
SKU_0014,MSK,2024-07,1697,0
SKU_0014,MSK,2024-08,2115,0
SKU_0014,MSK,2024-09,2038,0
SKU_0014,MSK,2024-10,1519,0
SKU_0014,MSK,2024-11,473,0
SKU_0014,MSK,2024-12,725,0
SKU_0014,MSK,2025-01,1550,0
SKU_0014,MSK,2025-02,598,0
SKU_0014,MSK,2025-03,1237,0
SKU_0014,MSK,2025-04,968,0
SKU_0014,MSK,2025-05,3969,0
SKU_0014,MSK,2025-06,2440,0
SKU_0014,MSK,2025-07,1461,0
SKU_0014,MSK,2025-08,813,0
SKU_0014,MSK,2025-09,1821,0
SKU_0014,MSK,2025-10,1198,0
SKU_0014,MSK,2025-11,2477,0
SKU_0014,MSK,2025-12,1376,0
SKU_0015,MSK,2023-01,1,0
SKU_0015,MSK,2023-02,0,0
SKU_0015,MSK,2023-03,1,0
SKU_0015,MSK,2023-04,7,0
SKU_0015,MSK,2023-05,1,0
SKU_0015,MSK,2023-06,1,0
SKU_0015,MSK,2023-07,1,0
SKU_0015,MSK,2023-08,1,0
SKU_0015,MSK,2023-09,1,0
SKU_0015,MSK,2023-10,1,0
SKU_0015,MSK,2023-11,9,0
SKU_0015,MSK,2023-12,1,0
SKU_0015,MSK,2024-01,2,0
SKU_0015,MSK,2024-02,0,0
SKU_0015,MSK,2024-03,2,0
SKU_0015,MSK,2024-04,14,0
SKU_0015,MSK,2024-05,9,0
SKU_0015,MSK,2024-06,1,0
SKU_0015,MSK,2024-07,1,0
SKU_0015,MSK,2024-08,1,0
SKU_0015,MSK,2024-09,1,0
SKU_0015,MSK,2024-10,0,0
SKU_0015,MSK,2024-11,3,0
SKU_0015,MSK,2024-12,5,0
SKU_0015,MSK,2025-01,6,0
SKU_0015,MSK,2025-02,2,0
SKU_0015,MSK,2025-03,1,0
SKU_0015,MSK,2025-04,1,0
SKU_0015,MSK,2025-05,2,0
SKU_0015,MSK,2025-06,1,0
SKU_0015,MSK,2025-07,1,0
SKU_0015,MSK,2025-08,4,0
SKU_0015,MSK,2025-09,7,0
SKU_0015,MSK,2025-10,1,0
SKU_0015,MSK,2025-11,1,0
SKU_0015,MSK,2025-12,1,0
SKU_0016,MSK,2023-01,145,0
SKU_0016,MSK,2023-02,196,0
SKU_0016,MSK,2023-03,128,0
SKU_0016,MSK,2023-04,237,0
SKU_0016,MSK,2023-05,63,0
SKU_0016,MSK,2023-06,82,0
SKU_0016,MSK,2023-07,107,0
SKU_0016,MSK,2023-08,92,0
SKU_0016,MSK,2023-09,48,0
SKU_0016,MSK,2023-10,129,0
SKU_0016,MSK,2023-11,135,0
SKU_0016,MSK,2023-12,167,0
SKU_0016,MSK,2024-01,66,0
SKU_0016,MSK,2024-02,196,0
SKU_0016,MSK,2024-03,227,0
SKU_0016,MSK,2024-04,120,0
SKU_0016,MSK,2024-05,147,0
SKU_0016,MSK,2024-06,93,0
SKU_0016,MSK,2024-07,183,0
SKU_0016,MSK,2024-08,179,0
SKU_0016,MSK,2024-09,139,0
SKU_0016,MSK,2024-10,127,0
SKU_0016,MSK,2024-11,112,0
SKU_0016,MSK,2024-12,52,0
SKU_0016,MSK,2025-01,96,0
SKU_0016,MSK,2025-02,78,0
SKU_0016,MSK,2025-03,117,0
SKU_0016,MSK,2025-04,73,0
SKU_0016,MSK,2025-05,255,0
SKU_0016,MSK,2025-06,212,0
SKU_0016,MSK,2025-07,230,0
SKU_0016,MSK,2025-08,148,0
SKU_0016,MSK,2025-09,73,0
SKU_0016,MSK,2025-10,50,0
SKU_0016,MSK,2025-11,103,0
SKU_0016,MSK,2025-12,56,0
SKU_0017,EKB,2023-01,32,0
SKU_0017,EKB,2023-02,16,0
SKU_0017,EKB,2023-03,13,0
SKU_0017,EKB,2023-04,29,0
SKU_0017,EKB,2023-05,46,0
SKU_0017,EKB,2023-06,32,0
SKU_0017,EKB,2023-07,24,0
SKU_0017,EKB,2023-08,19,0
SKU_0017,EKB,2023-09,28,0
SKU_0017,EKB,2023-10,31,0
SKU_0017,EKB,2023-11,57,0
SKU_0017,EKB,2023-12,36,0
SKU_0017,EKB,2024-01,43,0
SKU_0017,EKB,2024-02,32,0
SKU_0017,EKB,2024-03,33,0
SKU_0017,EKB,2024-04,15,0
SKU_0017,EKB,2024-05,41,0
SKU_0017,EKB,2024-06,46,0
SKU_0017,EKB,2024-07,48,0
SKU_0017,EKB,2024-08,50,0
SKU_0017,EKB,2024-09,42,0
SKU_0017,EKB,2024-10,11,0
SKU_0017,EKB,2024-11,12,0
SKU_0017,EKB,2024-12,14,0
SKU_0017,EKB,2025-01,35,0
SKU_0017,EKB,2025-02,21,0
SKU_0017,EKB,2025-03,51,0
SKU_0017,EKB,2025-04,41,0
SKU_0017,EKB,2025-05,59,0
SKU_0017,EKB,2025-06,74,0
SKU_0017,EKB,2025-07,28,0
SKU_0017,EKB,2025-08,66,0
SKU_0017,EKB,2025-09,20,0
SKU_0017,EKB,2025-10,49,0
SKU_0017,EKB,2025-11,38,0
SKU_0017,EKB,2025-12,28,0
SKU_0017,MSK,2023-01,146,0
SKU_0017,MSK,2023-02,65,0
SKU_0017,MSK,2023-03,119,0
SKU_0017,MSK,2023-04,64,0
SKU_0017,MSK,2023-05,107,0
SKU_0017,MSK,2023-06,80,0
SKU_0017,MSK,2023-07,88,0
SKU_0017,MSK,2023-08,210,0
SKU_0017,MSK,2023-09,100,0
SKU_0017,MSK,2023-10,92,0
SKU_0017,MSK,2023-11,134,0
SKU_0017,MSK,2023-12,119,0
SKU_0017,MSK,2024-01,145,0
SKU_0017,MSK,2024-02,51,0
SKU_0017,MSK,2024-03,173,0
SKU_0017,MSK,2024-04,142,0
SKU_0017,MSK,2024-05,106,0
SKU_0017,MSK,2024-06,136,0
SKU_0017,MSK,2024-07,303,0
SKU_0017,MSK,2024-08,274,0
SKU_0017,MSK,2024-09,192,0
SKU_0017,MSK,2024-10,122,0
SKU_0017,MSK,2024-11,41,0
SKU_0017,MSK,2024-12,91,0
